time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	0	0	0.99995
15	171.1921	122.2387	0.99887
25	2167.3304	1548.1956	0.99681
35	1669.3927	1192.9851	0.99466
45	951.1598	679.9953	0.99266
55	644.0996	460.661	0.99082
65	592.0276	423.5907	0.98911
75	560.1189	400.9229	0.98751
85	555.4401	397.7352	0.986
95	540.7037	387.34	0.98457
105	515.8505	369.6862	0.98321
115	490.1456	351.4074	0.9819
130	487.8579	349.9805	0.98004
150	485.2842	348.4174	0.97771
170	464.4807	333.7528	0.97552
195	465.3722	334.7342	0.97295
225	453.1658	326.3534	0.97005
255	438.3167	316.0465	0.96734
300	432.7074	312.5767	0.96353
360	417.5209	302.3489	0.95884
420	400.1358	290.4747	0.95451
525	388.7695	283.4477	0.94758
675	363.873	266.9503	0.93872
825	350.944	259.0808	0.93075
1050	332.9794	245.6455	0.91997
1350	318.8005	233.3933	0.90717
1650	304.7872	221.4467	0.89565
1950	290.0504	210.4105	0.88508
2250	282.3689	205.7493	0.87525
2550	269.8231	197.4862	0.86601
2850	264.4114	194.394	0.85727
3150	249.3855	184.1736	0.84896
3450	246.1252	182.589	0.84101
3750	237.5972	176.3124	0.83337
4050	225.1749	166.4345	0.82602
4350	226.9885	167.1151	0.81892
4650	220.9964	162.0662	0.81204
4950	212.3684	155.1312	0.80537
5250	210.5989	153.2406	0.79889
5550	204.1754	147.9914	0.79257
5850	203.5373	146.9598	0.78642
6150	202.34	145.534	0.78041
6450	196.7149	140.9466	0.77454
6750	187.4549	133.7996	0.7688
7050	180.429	128.2956	0.76317
