time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	0	0	0.99995
15	71.728	51.217	0.99887
25	1909.216	1363.8159	0.99681
35	1366.7331	976.6978	0.99466
45	831.1542	594.2019	0.99266
55	638.9398	456.9707	0.99082
65	583.1203	417.2176	0.98911
75	516.1866	369.4769	0.98751
85	443.5746	317.6314	0.986
95	472.8899	338.7608	0.98457
105	491.0413	351.9066	0.98321
115	453.8072	325.3547	0.9819
130	441.4934	316.7194	0.98004
150	443.757	318.6024	0.97771
170	410.451	294.9298	0.97552
195	419.5167	301.7511	0.97295
225	397.2563	286.0894	0.97005
255	389.6769	280.975	0.96734
300	395.7836	285.9039	0.96353
360	368.5506	266.8869	0.95884
420	344.3384	249.9691	0.95451
525	316.9138	231.0585	0.94758
675	301.9209	221.5	0.93872
825	284.7472	210.2117	0.93075
1050	265.4211	195.8064	0.91997
1350	256.7314	187.9526	0.90717
1650	243.0337	176.579	0.89565
1950	232.6496	168.7704	0.88508
2250	220.8787	160.9443	0.87525
2550	215.5064	157.7314	0.86601
2850	210.2303	154.5603	0.85727
3150	202.4968	149.5458	0.84896
3450	197.4125	146.4513	0.84101
3750	193.088	143.2837	0.83337
4050	185.8908	137.3983	0.82602
4350	185.224	136.367	0.81892
4650	179.1654	131.3897	0.81204
4950	178.7741	130.5912	0.80537
5250	173.4536	126.2121	0.79889
5550	165.3	119.8135	0.79257
5850	165.3584	119.3936	0.78642
6150	167.4517	120.4404	0.78041
6450	158.4951	113.562	0.77454
6750	162.6	116.059	0.7688
7050	150.6644	107.1312	0.76317
