time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	395.9688	282.6247	0.99995
15	1204.929	860.3723	0.99887
25	699.6958	499.8158	0.99681
35	439.0876	313.7818	0.99466
45	308.1299	220.2857	0.99266
55	261.5987	187.0958	0.99082
65	227.7646	162.9636	0.98911
75	225.3035	161.2681	0.98751
85	219.8578	157.4341	0.986
95	227.3615	162.8733	0.98457
105	230.7474	165.366	0.98321
115	228.0377	163.4905	0.9819
130	224.3076	160.9143	0.98004
150	221.7936	159.2402	0.97771
170	208.8607	150.077	0.97552
195	209.2943	150.5418	0.97295
225	204.4916	147.2673	0.97005
255	203.0883	146.436	0.96734
300	204.3728	147.6336	0.96353
360	197.0315	142.6809	0.95884
420	195.4096	141.8557	0.95451
525	186.6226	136.0646	0.94758
675	176.0821	129.1802	0.93872
825	171.5723	126.6614	0.93075
1050	164.2772	121.1905	0.91997
1350	153.0589	112.0542	0.90717
1650	145.8838	105.9936	0.89565
1950	136.1243	98.7483	0.88508
2250	134.9327	98.3193	0.87525
2550	123.0455	90.0583	0.86601
2850	118.1505	86.8637	0.85727
3150	118.2833	87.3534	0.84896
3450	114.6397	85.046	0.84101
3750	112.6873	83.6212	0.83337
4050	110.9127	81.9794	0.82602
4350	107.2894	78.9894	0.81892
4650	104.9367	76.9546	0.81204
4950	103.6033	75.6803	0.80537
5250	103.0583	74.9895	0.79889
5550	101.2837	73.4129	0.79257
5850	98.4564	71.0884	0.78642
6150	99.3176	71.4347	0.78041
6450	98.927	70.8814	0.77454
6750	94.8354	67.6907	0.7688
7050	93.5526	66.5214	0.76317
