time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	352.559	251.6408	0.99995
15	1119.3971	799.2987	0.99887
25	701.2693	500.9398	0.99681
35	476.5839	340.5774	0.99466
45	374.7716	267.9287	0.99266
55	310.7873	222.2756	0.99082
65	294.8085	210.933	0.98911
75	252.1786	180.5048	0.98751
85	252.2797	180.6504	0.986
95	255.1152	182.755	0.98457
105	244.3169	175.0906	0.98321
115	243.4242	174.5217	0.9819
130	232.6573	166.9042	0.98004
150	242.4732	174.0874	0.97771
170	232.0758	166.7581	0.97552
195	233.5863	168.0146	0.97295
225	227.408	163.7709	0.97005
255	214.3157	154.5315	0.96734
300	214.5506	154.9858	0.96353
360	204.8021	148.308	0.95884
420	185.1065	134.3762	0.95451
525	201.2356	146.7187	0.94758
675	189.4296	138.9723	0.93872
825	177.6832	131.1727	0.93075
1050	166.6007	122.9046	0.91997
1350	153.6524	112.4887	0.90717
1650	150.3009	109.2029	0.89565
1950	136.0258	98.6768	0.88508
2250	124.668	90.8399	0.87525
2550	119.8198	87.6973	0.86601
2850	119.2018	87.6366	0.85727
3150	112.2321	82.8845	0.84896
3450	109.0733	80.9165	0.84101
3750	104.1278	77.2695	0.83337
4050	105.5063	77.9833	0.82602
4350	101.6127	74.81	0.81892
4650	98.488	72.2255	0.81204
4950	97.7666	71.4167	0.80537
5250	98.2957	71.5241	0.79889
5550	97.348	70.5602	0.79257
5850	97.2078	70.1868	0.78642
6150	94.277	67.8092	0.78041
6450	93.3435	66.8808	0.77454
6750	92.4017	65.9536	0.7688
7050	92.2449	65.5915	0.76317
