time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	1122.4782	801.1746	0.99995
15	2353.8745	1680.7698	0.99887
25	1467.0821	1047.9851	0.99681
35	1163.4132	831.4009	0.99466
45	946.9371	676.9764	0.99266
55	853.5203	610.439	0.99082
65	743.605	532.043	0.98911
75	730.6061	522.9544	0.98751
85	689.2342	493.5414	0.986
95	670.1091	480.0412	0.98457
105	668.1018	478.7976	0.98321
115	658.0243	471.7672	0.9819
130	658.9559	472.7232	0.98004
150	640.4563	459.8257	0.97771
170	621.3901	446.5002	0.97552
195	598.8481	430.741	0.97295
225	597.5085	430.3037	0.97005
255	575.7549	415.1458	0.96734
300	554.2103	400.3473	0.96353
360	528.826	382.9509	0.95884
420	513.0733	372.4605	0.95451
525	479.0459	349.2672	0.94758
675	446.7276	327.7354	0.93872
825	412.9671	304.8686	0.93075
1050	371.4809	274.0488	0.91997
1350	348.6667	255.2583	0.90717
1650	319.7575	232.3236	0.89565
1950	300.3927	217.9132	0.88508
2250	288.7572	210.4042	0.87525
2550	286.0879	209.3906	0.86601
2850	279.2033	205.2689	0.85727
3150	263.8471	194.8536	0.84896
3450	261.4388	193.9495	0.84101
3750	254.3304	188.7295	0.83337
4050	251.0578	185.5654	0.82602
4350	236.9142	174.4227	0.81892
4650	235.0684	172.3858	0.81204
4950	237.9703	173.8329	0.80537
5250	228.2918	166.1147	0.79889
5550	228.2925	165.472	0.79257
5850	216.1537	156.0692	0.78642
6150	225.0154	161.8434	0.78041
6450	216.2484	154.9424	0.77454
6750	218.6212	156.0452	0.7688
7050	220.0704	156.483	0.76317
