time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	0	0	0.99995
15	125.7145	89.7657	0.99887
25	1267.6625	905.5331	0.99681
35	1227.9855	877.5457	0.99466
45	709.5441	507.2614	0.99266
55	535.8212	383.2201	0.99082
65	406.2672	290.6807	0.98911
75	349.6088	250.2436	0.98751
85	313.8555	224.7432	0.986
95	299.953	214.8752	0.98457
105	279.8793	200.5766	0.98321
115	256.6748	184.0217	0.9819
130	269.3326	193.2144	0.98004
150	245.5255	176.2789	0.97771
170	248.2886	178.4079	0.97552
195	235.4812	169.3775	0.97295
225	227.6289	163.9299	0.97005
255	225.6447	162.7002	0.96734
300	214.5228	154.9657	0.96353
360	207.5141	150.2719	0.95884
420	195.3222	141.7922	0.95451
525	186.409	135.9088	0.94758
675	172.4803	126.5377	0.93872
825	161.0435	118.8887	0.93075
1050	149.7497	110.4733	0.91997
1350	144.9064	106.0857	0.90717
1650	137.5934	99.9701	0.89565
1950	131.8727	95.6641	0.88508
2250	124.9461	91.0426	0.87525
2550	120.9314	88.5109	0.86601
2850	113.9501	83.7756	0.85727
3150	107.0524	79.0592	0.84896
3450	101.1021	75.003	0.84101
3750	98.5071	73.0986	0.83337
4050	95.1561	70.3331	0.82602
4350	91.9172	67.672	0.81892
4650	87.9654	64.5088	0.81204
4950	87.5098	63.9243	0.80537
5250	82.3587	59.9277	0.79889
5550	82.2336	59.6049	0.79257
5850	79.8903	57.6831	0.78642
6150	74.6222	53.6724	0.78041
6450	74.9327	53.6894	0.77454
6750	73.4315	52.4132	0.7688
7050	72.0459	51.2288	0.76317
