time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	530.1509	378.3979	0.99995
15	1273.3327	909.2155	0.99887
25	756.7086	540.5419	0.99681
35	493.0692	352.3582	0.99466
45	386.0729	276.0081	0.99266
55	317.5651	227.123	0.99082
65	342.3532	244.9508	0.98911
75	305.2669	218.5045	0.98751
85	287.2431	205.6868	0.986
95	283.6819	203.2192	0.98457
105	296.1155	212.2123	0.98321
115	275.943	197.8359	0.9819
130	289.0298	207.3448	0.98004
150	277.5933	199.3025	0.97771
170	268.3195	192.8011	0.97552
195	270.4182	194.5072	0.97295
225	252.5921	181.9076	0.97005
255	264.5875	190.7798	0.96734
300	256.0672	184.9764	0.96353
360	244.4665	177.0311	0.95884
420	237.8364	172.655	0.95451
525	235.0187	171.3496	0.94758
675	228.6041	167.7122	0.93872
825	213.5273	157.6343	0.93075
1050	214.0044	157.8753	0.91997
1350	209.7129	153.5304	0.90717
1650	203.648	147.9629	0.89565
1950	194.631	141.1907	0.88508
2250	190.0799	138.5026	0.87525
2550	193.0629	141.3047	0.86601
2850	190.215	139.8452	0.85727
3150	187.9816	138.8262	0.84896
3450	181.6046	134.7241	0.84101
3750	186.551	138.4328	0.83337
4050	179.6714	132.8013	0.82602
4350	169.3445	124.6761	0.81892
4650	168.1345	123.3003	0.81204
4950	164.8545	120.4231	0.80537
5250	162.8581	118.5024	0.79889
5550	163.6829	118.6414	0.79257
5850	157.7436	113.8955	0.78642
6150	152.1961	109.4678	0.78041
6450	158.2013	113.3516	0.77454
6750	157.8466	112.6662	0.7688
7050	149.4249	106.2499	0.76317
