time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	0	0	0.99995
15	77.0546	55.0204	0.99887
25	997.4948	712.5434	0.99681
35	817.526	584.2223	0.99466
45	537.2364	384.0766	0.99266
55	386.2815	276.2691	0.99082
65	341.6211	244.427	0.98911
75	300.3042	214.9522	0.98751
85	289.3295	207.1808	0.986
95	303.8316	217.6536	0.98457
105	279.2757	200.1439	0.98321
115	257.8815	184.8868	0.9819
130	240.9811	172.8755	0.98004
150	249.5299	179.1539	0.97771
170	241.8334	173.7695	0.97552
195	233.8933	168.2354	0.97295
225	224.8517	161.9299	0.97005
255	221.794	159.9237	0.96734
300	203.5159	147.0146	0.96353
360	184.7061	133.7554	0.95884
420	182.7791	132.6867	0.95451
525	173.2303	126.3004	0.94758
675	167.2272	122.6839	0.93872
825	154.2821	113.8972	0.93075
1050	144.6473	106.7091	0.91997
1350	138.2125	101.1851	0.90717
1650	125.5206	91.1985	0.89565
1950	121.2505	87.9585	0.88508
2250	114.78	83.6349	0.87525
2550	105.4421	77.1742	0.86601
2850	104.4002	76.7545	0.85727
3150	98.9755	73.0943	0.84896
3450	95.2762	70.6811	0.84101
3750	93.0461	69.0462	0.83337
4050	90.4555	66.8588	0.82602
4350	90.5741	66.6831	0.81892
4650	89.752	65.819	0.81204
4950	85.36	62.3539	0.80537
5250	87.3768	63.579	0.79889
5550	84.3556	61.143	0.79257
5850	86.3795	62.3685	0.78642
6150	83.4234	60.0027	0.78041
6450	77.2168	55.326	0.77454
6750	77.7251	55.4778	0.7688
7050	78.7306	55.9821	0.76317
