time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	0	0	0.99995
15	140.9725	100.6605	0.99887
25	1532.523	1094.7317	0.99681
35	929.3141	664.1085	0.99466
45	551.6073	394.3506	0.99266
55	406.5648	290.7758	0.99082
65	349.1928	249.8445	0.98911
75	358.9475	256.9281	0.98751
85	278.253	199.2492	0.986
95	276.3006	197.9314	0.98457
105	297.6624	213.3209	0.98321
115	269.6847	193.349	0.9819
130	268.609	192.6953	0.98004
150	266.6172	191.422	0.97771
170	248.3166	178.428	0.97552
195	249.6099	179.5401	0.97295
225	225.3506	162.2892	0.97005
255	235.5173	169.8188	0.96734
300	236.2524	170.6627	0.96353
360	218.5147	158.238	0.95884
420	201.2161	146.0709	0.95451
525	189.3359	138.0428	0.94758
675	179.9402	132.0106	0.93872
825	160.9149	118.7938	0.93075
1050	154.4891	113.9697	0.91997
1350	146.3708	107.1578	0.90717
1650	138.1724	100.3908	0.89565
1950	131.2091	95.1827	0.88508
2250	126.2366	91.9829	0.87525
2550	121.6211	89.0157	0.86601
2850	112.1591	82.4588	0.85727
3150	117.7122	86.9316	0.84896
3450	108.4362	80.4439	0.84101
3750	107.2246	79.5676	0.83337
4050	104.6242	77.3313	0.82602
4350	103.3794	76.1107	0.81892
4650	104.9889	76.9929	0.81204
4950	98.1567	71.7017	0.80537
5250	101.9822	74.2065	0.79889
5550	98.2152	71.1888	0.79257
5850	106.936	77.2109	0.78642
6150	98.638	70.9459	0.78041
6450	94.6989	67.852	0.77454
6750	96.4237	68.8243	0.7688
7050	98.4932	70.0345	0.76317
