time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	0	0	0.99995
15	151.5204	108.1922	0.99887
25	2055.3532	1468.2065	0.99681
35	1641.0534	1172.7333	0.99466
45	980.1874	700.7475	0.99266
55	719.3466	514.4777	0.99082
65	647.2021	463.0676	0.98911
75	609.1153	435.9936	0.98751
85	612.1799	438.3649	0.986
95	575.2977	412.1219	0.98457
105	534.7742	383.2479	0.98321
115	538.2612	385.9036	0.9819
130	525.5568	377.025	0.98004
150	510.6135	366.603	0.97771
170	504.3488	362.4	0.97552
195	472.2927	339.712	0.97295
225	452.8932	326.1571	0.97005
255	454.253	327.5373	0.96734
300	427.9738	309.1573	0.96353
360	412.8045	298.9336	0.95884
420	390.7078	283.6305	0.95451
525	363.7416	265.2001	0.94758
675	337.9235	247.9129	0.93872
825	315.6075	232.9939	0.93075
1050	286.56	211.401	0.91997
1350	271.8159	198.996	0.90717
1650	263.4504	191.413	0.89565
1950	251.2942	182.2958	0.88508
2250	236.1687	172.0854	0.87525
2550	229.6377	168.0742	0.86601
2850	223.7321	164.4867	0.85727
3150	218.0275	161.0154	0.84896
3450	210.5475	156.1955	0.84101
3750	204.0728	151.4351	0.83337
4050	202.5673	149.7244	0.82602
4350	197.7664	145.601	0.81892
4650	197.6581	144.9512	0.81204
4950	190.2998	139.0105	0.80537
5250	191.4989	139.3427	0.79889
5550	193.6648	140.373	0.79257
5850	185.81	134.1602	0.78642
6150	181.5303	130.5665	0.78041
6450	186.2373	133.4394	0.77454
6750	183.2653	130.8092	0.7688
7050	177.4482	126.1761	0.76317
