time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	454.3617	324.303	0.99995
15	1348.2671	962.7219	0.99887
25	1012.9705	723.5982	0.99681
35	572.7041	409.2671	0.99466
45	443.977	317.4043	0.99266
55	399.1725	285.4888	0.99082
65	386.0313	276.2021	0.98911
75	351.4647	251.572	0.98751
85	327.5613	234.5575	0.986
95	349.9738	250.7082	0.98457
105	353.2159	253.1335	0.98321
115	328.3254	235.3912	0.9819
130	323.4997	232.0729	0.98004
150	313.2015	224.8679	0.97771
170	302.3888	217.2816	0.97552
195	300.5211	216.1597	0.97295
225	284.8796	205.1599	0.97005
255	279.5569	201.5734	0.96734
300	266.8327	192.7531	0.96353
360	253.9807	183.9208	0.95884
420	236.7182	171.8433	0.95451
525	222.3881	162.1408	0.94758
675	204.5247	150.0466	0.93872
825	198.3033	146.3953	0.93075
1050	179.2067	132.2043	0.91997
1350	163.9298	120.0127	0.90717
1650	159.4027	115.8159	0.89565
1950	149.1553	108.2014	0.88508
2250	142.7488	104.0145	0.87525
2550	141.4796	103.5503	0.86601
2850	136.8512	100.6123	0.85727
3150	134.0043	98.9635	0.84896
3450	124.3187	92.2263	0.84101
3750	122.3505	90.7919	0.83337
4050	126.223	93.2957	0.82602
4350	123.8152	91.1562	0.81892
4650	120.4154	88.3058	0.81204
4950	122.7228	89.6467	0.80537
5250	113.3159	82.4534	0.79889
5550	110.4064	80.0253	0.79257
5850	109.4416	79.02	0.78642
6150	108.1931	77.8184	0.78041
6450	110.1089	78.8933	0.77454
6750	109.3094	78.0218	0.7688
7050	106.5255	75.7459	0.76317
