time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	190.8774	136.2398	0.99995
15	816.4606	582.9887	0.99887
25	521.9354	372.8357	0.99681
35	331.2284	236.7032	0.99466
45	281.8089	201.4685	0.99266
55	241.7458	172.8969	0.99082
65	200.8629	143.7157	0.98911
75	192.155	137.541	0.98751
85	178.8912	128.099	0.986
95	168.4001	120.6356	0.98457
105	179.0204	128.2956	0.98321
115	171.1603	122.7125	0.9819
130	170.4084	122.248	0.98004
150	167.3555	120.1556	0.97771
170	162.2931	116.6158	0.97552
195	151.8331	109.2109	0.97295
225	153.5685	110.5944	0.97005
255	148.8038	107.2944	0.96734
300	145.3551	105.0008	0.96353
360	140.2031	101.5284	0.95884
420	133.0153	96.5612	0.95451
525	127.034	92.6192	0.94758
675	123.8676	90.8737	0.93872
825	114.7206	84.6913	0.93075
1050	110.2152	81.3079	0.91997
1350	107.249	78.5168	0.90717
1650	100.0786	72.7133	0.89565
1950	97.43	70.6784	0.88508
2250	96.8512	70.571	0.87525
2550	93.1221	68.157	0.86601
2850	89.3289	65.6742	0.85727
3150	93.0654	68.7297	0.84896
3450	89.7156	66.5559	0.84101
3750	88.165	65.4241	0.83337
4050	86.4609	63.9062	0.82602
4350	84.3955	62.1343	0.81892
4650	84.2143	61.758	0.81204
4950	82.6394	60.3666	0.80537
5250	82.7904	60.2418	0.79889
5550	82.4564	59.7664	0.79257
5850	80.8361	58.366	0.78642
6150	81.862	58.8796	0.78041
6450	81.1383	58.1357	0.77454
6750	79.9648	57.0765	0.7688
7050	83.0402	59.0464	0.76317
