time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	704.7433	503.0142	0.99995
15	2076.5882	1482.7752	0.99887
25	1216.53	869.0075	0.99681
35	810.8261	579.4344	0.99466
45	631.4639	451.441	0.99266
55	601.5477	430.2278	0.99082
65	565.2286	404.4163	0.98911
75	541.5897	387.66	0.98751
85	536.4786	384.1574	0.986
95	524.2359	375.5431	0.98457
105	521.5063	373.7394	0.98321
115	514.2166	368.665	0.9819
130	514.9484	369.4148	0.98004
150	509.2205	365.6029	0.97771
170	490.4135	352.3868	0.97552
195	464.464	334.0809	0.97295
225	449.9133	324.011	0.97005
255	444.8688	320.7709	0.96734
300	438.7553	316.9456	0.96353
360	412.6957	298.8548	0.95884
420	412.6557	299.5633	0.95451
525	384.7361	280.507	0.94758
675	373.5708	274.065	0.93872
825	351.3091	259.3503	0.93075
1050	333.959	246.3682	0.91997
1350	310.11	227.031	0.90717
1650	291.1762	211.5575	0.89565
1950	266.2178	193.1217	0.88508
2250	251.359	183.1538	0.87525
2550	250.068	183.0273	0.86601
2850	228.1325	167.7219	0.85727
3150	222.8648	164.5878	0.84896
3450	214.5674	159.1778	0.84101
3750	209.6873	155.6014	0.83337
4050	202.2891	149.5188	0.82602
4350	197.179	145.1685	0.81892
4650	190.4698	139.6798	0.81204
4950	188.0968	137.4012	0.80537
5250	184.5852	134.312	0.79889
5550	186.1328	134.9137	0.79257
5850	175.3838	126.6322	0.78642
6150	177.0185	127.3214	0.78041
6450	172.2238	123.3987	0.77454
6750	175.4396	125.2235	0.7688
7050	168.2685	119.6488	0.76317
