time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	474.1109	338.3991	0.99995
15	1304.1331	931.2083	0.99887
25	820.4528	586.0765	0.99681
35	578.2515	413.2314	0.99466
45	450.2372	321.8799	0.99266
55	398.8449	285.2545	0.99082
65	349.334	249.9455	0.98911
75	322.8059	231.0586	0.98751
85	324.2305	232.1724	0.986
95	324.5713	232.5108	0.98457
105	319.0105	228.6201	0.98321
115	319.8482	229.3135	0.9819
130	300.2377	215.3852	0.98004
150	308.7112	221.6441	0.97771
170	292.1019	209.8899	0.97552
195	277.2662	199.4328	0.97295
225	279.847	201.5355	0.97005
255	265.6875	191.5729	0.96734
300	266.9489	192.837	0.96353
360	252.3703	182.7547	0.95884
420	217.1025	157.6035	0.95451
525	240.3454	175.2333	0.94758
675	221.31	162.3609	0.93872
825	206.9863	152.8055	0.93075
1050	194.086	143.1811	0.91997
1350	177.9526	130.2788	0.90717
1650	175.3155	127.3776	0.89565
1950	160.0175	116.0811	0.88508
2250	150.5317	109.6856	0.87525
2550	141.0183	103.2127	0.86601
2850	136.0045	99.9899	0.85727
3150	127.322	94.0285	0.84896
3450	121.8675	90.4079	0.84101
3750	119.9466	89.0081	0.83337
4050	115.8639	85.6389	0.82602
4350	114.7285	84.4662	0.81892
4650	112.8629	82.7672	0.81204
4950	110.2387	80.5273	0.80537
5250	104.8239	76.2743	0.79889
5550	105.721	76.6292	0.79257
5850	104.7835	75.6567	0.78642
6150	104.5779	75.2181	0.78041
6450	102.0163	73.0948	0.77454
6750	103.8743	74.1424	0.7688
7050	104.9364	74.616	0.76317
