time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	743.1232	530.408	0.99995
15	842.1381	601.3236	0.99887
25	473.5172	338.249	0.99681
35	361.8269	258.5696	0.99466
45	305.634	218.5013	0.99266
55	299.3659	214.107	0.99082
65	299.4323	214.2412	0.98911
75	258.4046	184.9613	0.98751
85	263.4797	188.6705	0.986
95	273.0702	195.6173	0.98457
105	254.9286	182.6956	0.98321
115	258.35	185.2227	0.9819
130	248.483	178.2572	0.98004
150	255.1522	183.1905	0.97771
170	247.2695	177.6756	0.97552
195	236.5997	170.182	0.97295
225	218.8565	157.6124	0.97005
255	218.1451	157.2927	0.96734
300	223.0106	161.0971	0.96353
360	210.6719	152.5587	0.95884
420	203.6308	147.8238	0.95451
525	197.6867	144.1313	0.94758
675	183.207	134.4073	0.93872
825	175.6479	129.6702	0.93075
1050	170.8009	126.0032	0.91997
1350	160.8521	117.7595	0.90717
1650	151.305	109.9324	0.89565
1950	150.5133	109.1865	0.88508
2250	146.3466	106.6361	0.87525
2550	137.5529	100.6763	0.86601
2850	138.0953	101.527	0.85727
3150	129.6915	95.7784	0.84896
3450	126.9664	94.1905	0.84101
3750	119.0474	88.3408	0.83337
4050	121.4149	89.7419	0.82602
4350	114.9373	84.6199	0.81892
4650	108.5563	79.609	0.81204
4950	111.6509	81.5589	0.80537
5250	105.6183	76.8523	0.79889
5550	103.3363	74.9007	0.79257
5850	98.9632	71.4543	0.78642
6150	94.0086	67.6161	0.78041
6450	94.4105	67.6453	0.77454
6750	95.5765	68.2196	0.7688
7050	90.6782	64.4776	0.76317
