time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	1287.3058	918.8211	0.99995
15	2949.86	2106.3297	0.99887
25	1947.4422	1391.1222	0.99681
35	1454.51	1039.4252	0.99466
45	1123.9966	803.5584	0.99266
55	1002.7636	717.178	0.99082
65	879.7572	629.4587	0.98911
75	801.2915	573.5498	0.98751
85	772.2334	552.9748	0.986
95	752.1436	538.8077	0.98457
105	724.1663	518.9765	0.98321
115	751.1452	538.5297	0.9819
130	725.9212	520.7629	0.98004
150	716.946	514.7427	0.97771
170	715.1692	513.8851	0.97552
195	709.4898	510.3237	0.97295
225	670.1839	482.6419	0.97005
255	663.9862	478.7646	0.96734
300	577.2921	417.0209	0.96353
360	669.7946	485.0336	0.95884
420	635.016	460.9837	0.95451
525	604.9894	441.0914	0.94758
675	556.2783	408.1058	0.93872
825	535.3502	395.2167	0.93075
1050	503.3901	371.3608	0.91997
1350	483.2176	353.7627	0.90717
1650	450.0239	326.9702	0.89565
1950	454.6595	329.8225	0.88508
2250	425.2863	309.8868	0.87525
2550	411.3817	301.0944	0.86601
2850	396.0357	291.1635	0.85727
3150	384.5923	284.0251	0.84896
3450	371.8602	275.866	0.84101
3750	362.7638	269.194	0.83337
4050	355.5378	262.7902	0.82602
4350	354.8092	261.2202	0.81892
4650	352.8952	258.7933	0.81204
4950	342.122	249.9138	0.80537
5250	336.4807	244.8375	0.79889
5550	327.5851	237.4417	0.79257
5850	322.07	232.5439	0.78642
6150	323.1612	232.4353	0.78041
6450	319.2462	228.7405	0.77454
6750	317.3909	226.544	0.7688
7050	316.2552	224.876	0.76317
