time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	0	0	0.99995
15	115.3468	82.3627	0.99887
25	1221.892	872.8378	0.99681
35	1044.1072	746.1422	0.99466
45	634.7462	453.7875	0.99266
55	458.1953	327.7019	0.99082
65	383.8678	274.6541	0.98911
75	346.0268	247.6796	0.98751
85	328.6054	235.3052	0.986
95	330.8552	237.0123	0.98457
105	300.8275	215.5892	0.98321
115	325.4631	233.3391	0.9819
130	299.2115	214.649	0.98004
150	283.9451	203.8629	0.97771
170	290.5225	208.7551	0.97552
195	265.8	191.1853	0.97295
225	257.644	185.5458	0.97005
255	255.0985	183.9377	0.96734
300	248.4856	179.4996	0.96353
360	245.0855	177.4794	0.95884
420	231.7711	168.2519	0.95451
525	227.357	165.7635	0.94758
675	214.4529	157.3304	0.93872
825	202.8583	149.758	0.93075
1050	190.7313	140.7063	0.91997
1350	182.4375	133.5622	0.90717
1650	170.6306	123.9737	0.89565
1950	166.273	120.619	0.88508
2250	155.9047	113.6007	0.87525
2550	147.1197	107.6784	0.86601
2850	137.6137	101.1729	0.85727
3150	128.7411	95.0765	0.84896
3450	119.4987	88.6506	0.84101
3750	119.0441	88.3383	0.83337
4050	114.6089	84.7114	0.82602
4350	113.8807	83.8421	0.81892
4650	113.571	83.2865	0.81204
4950	109.6352	80.0865	0.80537
5250	105.6201	76.8536	0.79889
5550	103.6156	75.1031	0.79257
5850	101.1126	73.0062	0.78642
6150	99.3122	71.4308	0.78041
6450	91.1999	65.3449	0.77454
6750	87.706	62.6019	0.7688
7050	89.316	63.5089	0.76317
