time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	493.4108	352.1745	0.99995
15	1432.2137	1022.6635	0.99887
25	942.7026	673.4036	0.99681
35	691.8329	494.3992	0.99466
45	544.0169	388.9241	0.99266
55	489.6214	350.178	0.99082
65	438.4155	313.6826	0.98911
75	391.3764	280.14	0.98751
85	398.1169	285.0804	0.986
95	375.382	268.9097	0.98457
105	352.5431	252.6513	0.98321
115	371.0885	266.05	0.9819
130	356.8251	255.98	0.98004
150	354.6199	254.605	0.97771
170	359.3618	258.2196	0.97552
195	334.124	240.3296	0.97295
225	316.4366	227.886	0.97005
255	317.5745	228.9858	0.96734
300	312.152	225.4906	0.96353
360	301.8904	218.6148	0.95884
420	292.1358	212.0731	0.95451
525	274.3139	199.9993	0.94758
675	261.1663	191.601	0.93872
825	244.5253	180.5183	0.93075
1050	235.6532	173.846	0.91997
1350	224.3499	164.2462	0.90717
1650	218.2127	158.545	0.89565
1950	211.0907	153.131	0.88508
2250	203.0192	147.9308	0.87525
2550	195.2774	142.9255	0.86601
2850	189.4069	139.251	0.85727
3150	184.526	136.2743	0.84896
3450	176.0518	130.6048	0.84101
3750	174.8013	129.7138	0.83337
4050	172.3311	127.3758	0.82602
4350	168.9209	124.3642	0.81892
4650	169.7966	124.5192	0.81204
4950	168.1722	122.8467	0.80537
5250	164.5289	119.7182	0.79889
5550	164.0919	118.9379	0.79257
5850	158.0468	114.1144	0.78642
6150	158.5651	114.0487	0.78041
6450	158.2652	113.3973	0.77454
6750	155.7381	111.1612	0.7688
7050	152.3782	108.3499	0.76317
