time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	539.368	384.9767	0.99995
15	1425.753	1018.0503	0.99887
25	841.6838	601.2425	0.99681
35	642.4164	459.085	0.99466
45	481.5605	344.2733	0.99266
55	418.7049	299.4584	0.99082
65	370.1109	264.8112	0.98911
75	334.6787	239.5569	0.98751
85	315.8689	226.1849	0.986
95	332.723	238.3504	0.98457
105	290.4216	208.1318	0.98321
115	296.1601	212.3305	0.9819
130	302.5396	217.0365	0.98004
150	296.7541	213.0593	0.97771
170	271.3921	195.0089	0.97552
195	266.4691	191.6666	0.97295
225	275.4679	198.3819	0.97005
255	277.284	199.9345	0.96734
300	261.4686	188.8782	0.96353
360	255.7106	185.1735	0.95884
420	246.7215	179.1051	0.95451
525	236.7417	172.6058	0.94758
675	234.4074	171.9697	0.93872
825	223.1696	164.7526	0.93075
1050	218.3149	161.0552	0.91997
1350	210.9129	154.409	0.90717
1650	205.7943	149.5223	0.89565
1950	198.5775	144.0536	0.88508
2250	196.6539	143.2928	0.87525
2550	191.2612	139.9861	0.86601
2850	189.7082	139.4726	0.85727
3150	179.5599	132.6068	0.84896
3450	175.9534	130.5317	0.84101
3750	168.7608	125.2313	0.83337
4050	172.9864	127.8602	0.82602
4350	166.0859	122.277	0.81892
4650	159.6543	117.0813	0.81204
4950	154.6504	112.9693	0.80537
5250	158.3683	115.2354	0.79889
5550	154.6721	112.1102	0.79257
5850	157.706	113.8683	0.78642
6150	155.7434	112.0192	0.78041
6450	153.7051	110.13	0.77454
6750	141.4958	100.9954	0.7688
7050	146.6182	104.2541	0.76317
