time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	373.631	266.681	0.99995
15	880.0766	628.4134	0.99887
25	505.1798	360.8666	0.99681
35	367.5203	262.6382	0.99466
45	295.505	211.26	0.99266
55	267.6618	191.4321	0.99082
65	262.3231	187.69	0.98911
75	249.6237	178.6761	0.98751
85	248.8301	178.1803	0.986
95	249.8141	178.9575	0.98457
105	226.2231	162.1236	0.98321
115	219.3292	157.247	0.9819
130	214.9421	154.1956	0.98004
150	215.2519	154.5435	0.97771
170	225.8499	162.2845	0.97552
195	203.3221	146.246	0.97295
225	202.9686	146.1706	0.97005
255	197.07	142.0966	0.96734
300	200.2313	144.6419	0.96353
360	182.7365	132.3291	0.95884
420	186.4019	135.3166	0.95451
525	173.5673	126.5461	0.94758
675	166.9024	122.4456	0.93872
825	157.0235	115.921	0.93075
1050	156.1143	115.1686	0.91997
1350	149.2934	109.2974	0.90717
1650	139.4215	101.2983	0.89565
1950	138.9221	100.778	0.88508
2250	129.3605	94.2591	0.87525
2550	130.539	95.5428	0.86601
2850	126.9644	93.3436	0.85727
3150	123.0979	90.909	0.84896
3450	121.6576	90.2522	0.84101
3750	117.0845	86.8842	0.83337
4050	116.5343	86.1345	0.82602
4350	112.1066	82.5359	0.81892
4650	109.4044	80.231	0.81204
4950	111.517	81.4611	0.80537
5250	107.0483	77.8929	0.79889
5550	105.4235	76.4135	0.79257
5850	104.7416	75.6265	0.78642
6150	98.1634	70.6045	0.78041
6450	96.5059	69.1467	0.77454
6750	99.8102	71.2415	0.7688
7050	95.361	67.8072	0.76317
