time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	0	0	0.99995
15	114.0712	81.4518	0.99887
25	1264.6263	903.3642	0.99681
35	946.1622	676.1486	0.99466
45	599.6183	428.6741	0.99266
55	454.0971	324.7709	0.99082
65	376.5706	269.433	0.98911
75	344.2952	246.4402	0.98751
85	326.1503	233.5471	0.986
95	327.8461	234.8568	0.98457
105	320.4902	229.6805	0.98321
115	310.7284	222.7752	0.9819
130	296.7413	212.8769	0.98004
150	285.1652	204.7389	0.97771
170	281.1175	201.9971	0.97552
195	286.8222	206.3062	0.97295
225	275.7421	198.5794	0.97005
255	264.4327	190.6681	0.96734
300	258.7612	186.9224	0.96353
360	244.0484	176.7283	0.95884
420	246.1205	178.6687	0.95451
525	226.2496	164.9561	0.94758
675	212.1384	155.6323	0.93872
825	199.0303	146.9321	0.93075
1050	187.7006	138.4704	0.91997
1350	177.8309	130.1897	0.90717
1650	170.1723	123.6407	0.89565
1950	154.1279	111.8086	0.88508
2250	156.2662	113.864	0.87525
2550	146.9393	107.5464	0.86601
2850	139.8732	102.8341	0.85727
3150	138.2469	102.0966	0.84896
3450	131.9929	97.9195	0.84101
3750	126.4774	93.8544	0.83337
4050	123.3682	91.1857	0.82602
4350	116.9955	86.1353	0.81892
4650	116.7347	85.6066	0.81204
4950	114.7775	83.8428	0.80537
5250	111.4805	81.1179	0.79889
5550	113.3338	82.1471	0.79257
5850	108.089	78.0434	0.78642
6150	110.9082	79.7713	0.78041
6450	106.4532	76.2739	0.77454
6750	108.4081	77.3784	0.7688
7050	106.2772	75.5694	0.76317
