time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	0	0	0.99995
15	366.3395	261.5825	0.99887
25	3361.7919	2401.4388	0.99681
35	2430.6421	1736.9909	0.99466
45	1431.4426	1023.3552	0.99266
55	1070.9371	765.9358	0.99082
65	1102.0601	788.5146	0.98911
75	1045.1421	748.0936	0.98751
85	1031.8973	738.9129	0.986
95	1016.4174	728.1236	0.98457
105	998.3036	715.438	0.98321
115	1007.6086	722.3998	0.9819
130	937.1053	672.2625	0.98004
150	948.59	681.0552	0.97771
170	915.8564	658.089	0.97552
195	916.3207	659.0936	0.97295
225	898.8564	647.3234	0.97005
255	846.4305	610.3154	0.96734
300	856.0995	618.4242	0.96353
360	838.6472	607.3088	0.95884
420	814.359	591.1759	0.95451
525	779.7669	568.5198	0.94758
675	737.837	541.3037	0.93872
825	721.8282	532.8821	0.93075
1050	687.8428	507.4353	0.91997
1350	640.769	469.1059	0.90717
1650	610.6481	443.6736	0.89565
1950	595.8831	432.27	0.88508
2250	579.3504	422.1463	0.87525
2550	562.8487	411.9547	0.86601
2850	539.1137	396.3537	0.85727
3150	541.6064	399.9815	0.84896
3450	523.6709	388.4875	0.84101
3750	517.0274	383.6675	0.83337
4050	500.9073	370.2377	0.82602
4350	490.7493	361.303	0.81892
4650	473.0004	346.8716	0.81204
4950	476.7713	348.2726	0.80537
5250	470.561	342.4	0.79889
5550	451.2555	327.0811	0.79257
5850	446.0688	322.0746	0.78642
6150	442.0036	317.9132	0.78041
6450	440.3993	315.5469	0.77454
6750	432.0567	308.3891	0.7688
7050	430.7592	306.2951	0.76317
