time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	479.7921	342.4541	0.99995
15	1344.1322	959.7694	0.99887
25	1036.1295	740.1415	0.99681
35	631.9539	451.6083	0.99466
45	434.7067	310.777	0.99266
55	370.3272	264.8586	0.99082
65	328.7025	235.1838	0.98911
75	294.1948	210.5793	0.98751
85	290.1035	207.735	0.986
95	293.965	210.5856	0.98457
105	265.2819	190.1153	0.98321
115	278.0156	199.3219	0.9819
130	255.9909	183.6433	0.98004
150	252.2423	181.1014	0.97771
170	270.2977	194.2225	0.97552
195	251.0344	180.5647	0.97295
225	239.288	172.3264	0.97005
255	253.0867	182.4872	0.96734
300	243.8395	176.1434	0.96353
360	233.6501	169.1984	0.95884
420	236.0324	171.3454	0.95451
525	222.0417	161.8882	0.94758
675	209.9816	154.0501	0.93872
825	201.6794	148.8877	0.93075
1050	196.4847	144.9506	0.91997
1350	191.3034	140.0529	0.90717
1650	186.1392	135.2416	0.89565
1950	182.3969	132.3157	0.88508
2250	175.1704	127.6387	0.87525
2550	169.9067	124.3564	0.86601
2850	167.6652	123.2666	0.85727
3150	165.7597	122.4151	0.84896
3450	157.0105	116.4789	0.84101
3750	151.8119	112.6542	0.83337
4050	150.1188	110.9579	0.82602
4350	146.6066	107.9358	0.81892
4650	145.3453	106.588	0.81204
4950	144.869	105.8241	0.80537
5250	142.2327	103.4945	0.79889
5550	142.7072	103.4377	0.79257
5850	135.6442	97.9391	0.78642
6150	137.6506	99.0058	0.78041
6450	140.8356	100.909	0.77454
6750	137.544	98.1748	0.7688
7050	134.3215	95.5105	0.76317
