time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	418.4249	298.653	0.99995
15	1143.2513	816.3317	0.99887
25	645.727	461.2641	0.99681
35	513.3368	366.8419	0.99466
45	424.9284	303.7863	0.99266
55	354.6245	253.6279	0.99082
65	294.3976	210.6389	0.98911
75	137.4263	98.3672	0.98751
85	235.6463	168.7397	0.986
95	306.2124	219.3591	0.98457
105	316.8422	227.0662	0.98321
115	288.9948	207.1933	0.9819
130	260.362	186.779	0.98004
150	237.4002	170.4452	0.97771
170	235.4676	169.1953	0.97552
195	221.1603	159.0768	0.97295
225	229.7212	165.4368	0.97005
255	226.2028	163.1026	0.96734
300	202.3095	146.1432	0.96353
360	195.9198	141.8759	0.95884
420	188.4666	136.8155	0.95451
525	182.8766	133.3334	0.94758
675	167.4969	122.8818	0.93872
825	156.8906	115.8229	0.93075
1050	148.9445	109.8793	0.91997
1350	140.7896	103.0718	0.90717
1650	131.9551	95.8735	0.89565
1950	130.549	94.7038	0.88508
2250	121.6042	88.6074	0.87525
2550	118.5193	86.7455	0.86601
2850	115.6375	85.0162	0.85727
3150	108.3578	80.0233	0.84896
3450	109.0316	80.8856	0.84101
3750	104.9917	77.9106	0.83337
4050	101.2518	74.8386	0.82602
4350	97.6558	71.8968	0.81892
4650	96.383	70.6818	0.81204
4950	96.9072	70.7889	0.80537
5250	100.7282	73.2941	0.79889
5550	95.7161	69.3774	0.79257
5850	94.0083	67.8767	0.78642
6150	100.8212	72.5161	0.78041
6450	92.2176	66.0741	0.77454
6750	92.5046	66.027	0.7688
7050	91.9894	65.4098	0.76317
