time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	464.8426	331.7838	0.99995
15	1258.3258	898.4999	0.99887
25	887.533	633.9941	0.99681
35	621.1398	443.8803	0.99466
45	468.0506	334.6149	0.99266
55	421.4878	301.4487	0.99082
65	391.2863	279.962	0.98911
75	125.6101	89.9094	0.98751
85	206.9703	148.2056	0.986
95	423.1128	303.1023	0.98457
105	436.464	312.7936	0.98321
115	410.1831	294.0787	0.9819
130	313.9804	225.2439	0.98004
150	314.5	225.8002	0.97771
170	299.5277	215.2257	0.97552
195	286.4277	206.0225	0.97295
225	276.1421	198.8674	0.97005
255	265.4798	191.4232	0.96734
300	259.585	187.5175	0.96353
360	242.0614	175.2894	0.95884
420	233.871	169.7763	0.95451
525	214.6781	156.5196	0.94758
675	201.4084	147.7604	0.93872
825	185.55	136.9803	0.93075
1050	173.1302	127.7216	0.91997
1350	161.9145	118.5373	0.90717
1650	150.8333	109.5897	0.89565
1950	153.8635	111.6168	0.88508
2250	142.9034	104.1272	0.87525
2550	140.9931	103.1943	0.86601
2850	133.5626	98.1946	0.85727
3150	131.1804	96.878	0.84896
3450	127.2846	94.4266	0.84101
3750	125.429	93.0764	0.83337
4050	118.2067	87.3706	0.82602
4350	121.0638	89.1304	0.81892
4650	118.6223	86.9908	0.81204
4950	118.9597	86.8979	0.80537
5250	110.7002	80.5501	0.79889
5550	118.4559	85.8598	0.79257
5850	111.4165	80.446	0.78642
6150	103.7384	74.6144	0.78041
6450	103.9679	74.4932	0.77454
6750	107.1802	76.502	0.7688
7050	110.0223	78.2323	0.76317
