time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	327.3444	233.6438	0.99995
15	1072.1575	765.5676	0.99887
25	621.7034	444.1032	0.99681
35	463.1575	330.9826	0.99466
45	336.8082	240.7881	0.99266
55	283.2586	202.587	0.99082
65	270.6477	193.6461	0.98911
75	259.0842	185.4478	0.98751
85	229.728	164.5018	0.986
95	223.3399	159.9924	0.98457
105	210.1257	150.5874	0.98321
115	211.0571	151.3163	0.9819
130	214.2154	153.6743	0.98004
150	213.8656	153.5482	0.97771
170	203.5814	146.2835	0.97552
195	209.5476	150.7239	0.97295
225	192.9547	138.9589	0.97005
255	195.7385	141.1364	0.96734
300	193.4196	139.7214	0.96353
360	198.5164	143.7562	0.95884
420	188.1234	136.5663	0.95451
525	179.7245	131.0352	0.94758
675	170.669	125.2089	0.93872
825	165.7451	122.3596	0.93075
1050	156.548	115.4886	0.91997
1350	144.577	105.8446	0.90717
1650	134.5399	97.7516	0.89565
1950	128.3996	93.1446	0.88508
2250	122.4138	89.1974	0.87525
2550	116.8442	85.5194	0.86601
2850	112.0129	82.3514	0.85727
3150	109.2953	80.7157	0.84896
3450	106.1758	78.767	0.84101
3750	103.2576	76.6237	0.83337
4050	97.5431	72.0975	0.82602
4350	98.0037	72.153	0.81892
4650	95.9742	70.382	0.81204
4950	91.5358	66.8652	0.80537
5250	92.7501	67.4889	0.79889
5550	88.2269	63.9491	0.79257
5850	88.6604	64.0154	0.78642
6150	87.0721	62.6271	0.78041
6450	85.9633	61.5929	0.77454
6750	84.2495	60.1348	0.7688
7050	83.1281	59.109	0.76317
