time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	0	0	0.99995
15	733.2911	523.602	0.99887
25	4000.0388	2857.3596	0.99681
35	2982.803	2131.5774	0.99466
45	1910.3549	1365.7352	0.99266
55	1418.7468	1014.6898	0.99082
65	1305.7825	934.2762	0.98911
75	1150.7436	823.6812	0.98751
85	1041.1305	745.5245	0.986
95	1038.2059	743.7321	0.98457
105	963.3362	690.3785	0.98321
115	994.3317	712.881	0.9819
130	952.2291	683.1121	0.98004
150	902.4683	647.9413	0.97771
170	884.1478	635.3048	0.97552
195	854.8047	614.8462	0.97295
225	843.1658	607.217	0.97005
255	799.3765	576.3873	0.96734
300	797.2173	575.8893	0.96353
360	787.1158	569.9922	0.95884
420	753.5741	547.0497	0.95451
525	726.3341	529.5625	0.94758
675	670.7919	492.117	0.93872
825	647.7311	478.1807	0.93075
1050	609.651	449.7516	0.91997
1350	585.4664	428.6189	0.90717
1650	571.3422	415.1154	0.89565
1950	542.5737	393.5979	0.88508
2250	526.6624	383.7549	0.87525
2550	509.3536	372.8011	0.86601
2850	497.2686	365.5895	0.85727
3150	489.3621	361.3987	0.84896
3450	480.6573	356.5777	0.84101
3750	465.9275	345.7481	0.83337
4050	460.5411	340.4017	0.82602
4350	457.4114	336.7587	0.81892
4650	448.6382	329.0057	0.81204
4950	442.6231	323.3279	0.80537
5250	435.9883	317.2434	0.79889
5550	425.4606	308.3843	0.79257
5850	420.705	303.7612	0.78642
6150	401.6839	288.9131	0.78041
6450	417.1326	298.8763	0.77454
6750	401.3302	286.4574	0.7688
7050	396.2859	281.7825	0.76317
