time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	63.2403	45.1381	0.99995
15	1006.0113	718.3363	0.99887
25	778.6363	556.2056	0.99681
35	451.5789	322.7083	0.99466
45	358.1895	256.0739	0.99266
55	291.5581	208.5228	0.99082
65	294.0523	210.3919	0.98911
75	279.1783	199.8307	0.98751
85	269.0524	192.6609	0.986
95	270.8444	194.0229	0.98457
105	271.3504	194.4643	0.98321
115	276.7599	198.4216	0.9819
130	246.2337	176.6436	0.98004
150	248.218	178.212	0.97771
170	245.9701	176.7419	0.97552
195	234.907	168.9646	0.97295
225	230.6329	166.0933	0.97005
255	219.784	158.4744	0.96734
300	217.8845	157.3942	0.96353
360	205.3682	148.718	0.95884
420	204.8912	148.7387	0.95451
525	195.925	142.8468	0.94758
675	187.8001	137.7769	0.93872
825	171.7881	126.8208	0.93075
1050	165.2385	121.8997	0.91997
1350	154.2026	112.8915	0.90717
1650	150.3914	109.2686	0.89565
1950	143.9935	104.4568	0.88508
2250	137.692	100.3299	0.87525
2550	137.7403	100.8135	0.86601
2850	134.0585	98.5591	0.85727
3150	126.8889	93.7087	0.84896
3450	125.2062	92.8847	0.84101
3750	123.4704	91.623	0.83337
4050	121.8539	90.0664	0.82602
4350	116.2249	85.5679	0.81892
4650	120.1971	88.1457	0.81204
4950	111.3538	81.3419	0.80537
5250	113.2689	82.4193	0.79889
5550	111.0985	80.527	0.79257
5850	107.7814	77.8213	0.78642
6150	110.7116	79.6298	0.78041
6450	105.9946	75.9453	0.77454
6750	102.0235	72.8213	0.7688
7050	100.4289	71.4109	0.76317
